Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
0.17;1.60;1;;;;;;;
0.33;1.80;1;;;;;;;
0.35;1.70;1;;;;;;;
0.27;1.50;1;;;;;;;
0.39;1.20;1;;;;;;;
0.18;0.65;1;;;;;;;
0.41;2.10;1;;;;;;;
0.23;1.30;1;;;;;;;
0.04;0.49;1;;;;;;;
0.21;0.63;1;;;;;;;
0.15;1.30;1;;;;;;;
0.15;0.84;1;;;;;;;
0.06;0.50;1;;;;;;;
0.26;1.30;1;;;;;;;
0.16;1.90;1;;;;;;;
0.33;2.10;1;;;;;;;
0.25;1.10;1;;;;;;;
0.10;0.70;1;;;;;;;
0.20;1.30;1;;;;;;;
0.17;0.65;1;;;;;;;
0.68;2.40;1;;;;;;;
0.52;2.10;1;;;;;;;
0.29;2.70;1;;;;;;;
0.18;0.59;1;;;;;;;
0.12;1.30;1;;;;;;;
0.40;1.30;1;;;;;;;
0.22;0.84;1;;;;;;;
0.25;0.70;1;;;;;;;
0.88;6.40;1;;;;;;;
0.51;2.50;1;;;;;;;
1.15;3.50;1;;;;;;;
0.33;2.50;1;;;;;;;
1.23;5.20;1;;;;;;;
1.48;4.70;1;;;;;;;
0.41;4.00;1;;;;;;;
0.90;4.20;1;;;;;;;
1.42;3.80;1;;;;;;;
1.51;3.70;1;;;;;;;
0.64;3.40;1;;;;;;;
0.07;0.96;1;;;;;;;
0.12;3.80;1;;;;;;;
0.07;3.20;1;;;;;;;
0.12;2.20;1;;;;;;;
0.10;2.00;1;;;;;;;
0.07;1.40;1;;;;;;;
0.12;2.10;1;;;;;;;
0.08;1.70;1;;;;;;;
0.06;1.30;1;;;;;;;
0.13;2.20;1;;;;;;;
0.10;3.40;1;;;;;;;
0.05;1.80;1;;;;;;;
0.11;3.20;1;;;;;;;
0.07;2.20;1;;;;;;;
0.10;2.70;1;;;;;;;
0.07;0.90;1;;;;;;;
0.06;0.80;1;;;;;;;
0.21;6.00;1;;;;;;;
0.12;2.50;1;;;;;;;
0.05;0.80;1;;;;;;;
0.11;2.90;1;;;;;;;
0.13;6.80;1;;;;;;;
0.12;3.20;1;;;;;;;
0.12;3.60;1;;;;;;;
0.14;3.30;1;;;;;;;
0.06;1.30;1;;;;;;;
0.13;0.80;1;;;;;;;
0.08;1.70;1;;;;;;;
0.06;1.70;1;;;;;;;
0.09;2.00;1;;;;;;;
0.08;1.20;1;;;;;;;
0.08;1.60;1;;;;;;;
0.10;1.40;1;;;;;;;
0.05;0.50;1;;;;;;;
0.11;3.90;1;;;;;;;
0.09;2.90;1;;;;;;;
0.09;0.60;1;;;;;;;
0.06;0.40;1;;;;;;;
0.04;2.10;1;;;;;;;
0.12;3.80;1;;;;;;;
0.13;0.80;1;;;;;;;
0.06;3.00;1;;;;;;;
0.07;3.90;1;;;;;;;
0.10;2.80;1;;;;;;;
0.10;2.60;1;;;;;;;
0.08;4.00;1;;;;;;;
